Unnamed: 0,식품명,1인분칼로리(kcal),탄수화물(g),단백질(g),지질(g),콜레스트롤(g),식이섬유(g),나트륨(g),등록일
168,돈까스,287.5,15.5,13.8,18.5,88.5,0.1,453.0,
169,돌나물,4.0,0.8,0.5,0.1,0.0,0.2,5.0,2012-01-04
170,돔(옥돔),55.0,0.1,8.9,1.9,38.0,0.0,40.0,2012-01-04
171,동부,9.0,1.7,0.7,0.0,0.0,0.1,0.0,2012-01-04
172,동태국,60.5,3.8,9.8,1.0,28.7,0.6,674.0,2012-01-04
173,동태조림,80.0,2.3,15.0,1.0,51.3,0.4,515.0,2012-01-11
174,동태찌개,71.1,4.5,11.0,1.4,31.3,0.6,437.0,
175,돼지갈비구이,375.0,16.4,28.0,21.5,79.0,0.1,872.0,2012-01-04
176,돼지갈비찜,324.4,9.4,26.0,20.0,87.0,0.3,745.0,2012-01-04
177,돼지고기,157.0,0.7,11.6,11.4,0.0,0.0,11.0,2012-01-04
178,돼지고기(갈비),270.0,1.3,24.1,18.1,89.7,0.0,79.0,
179,돼지고기(삼겹살),513.0,1.2,26.7,44.0,99.2,0.0,68.0,
180,돼지고기가공품(등심햄),20.0,0.5,2.5,0.6,6.3,0.0,162.0,2012-01-04
181,돼지고기가공품(런천미트),39.0,0.4,2.3,2.8,9.3,0.0,124.0,
182,돼지고기가공품(베이컨),17.0,0.4,1.6,0.9,7.1,0.0,133.0,2012-01-04
183,돼지고기가공품(비엔나소시지),105.0,1.0,4.8,8.5,17.5,0.0,293.0,
184,돼지고기가공품(프랑크프르트소시지),97.0,0.8,5.0,7.7,17.5,0.0,230.0,
185,돼지고기구이,427.3,1.8,28.4,32.4,89.6,0.0,1065.0,2012-01-04
186,돼지고기덮밥,660.3,99.8,22.7,17.2,46.3,0.9,831.0,2012-01-04
187,돼지고기볶음,260.0,10.1,15.4,17.6,44.2,0.6,562.0,2012-01-04
188,돼지고기장조림,91.0,2.6,6.4,5.8,19.3,0.1,233.0,2012-01-04
189,돼지고기찌개,136.2,5.1,10.0,8.7,24.6,0.6,686.0,2012-01-16
190,돼지불고기,256.0,11.7,13.9,17.2,40.4,0.6,379.0,2012-01-04
191,된장,24.0,2.7,2.0,0.7,0.0,0.3,898.0,2012-01-04
192,된장,13.0,1.5,1.1,0.4,0.0,0.1,499.0,2012-01-04
193,된장(가루된장),33.0,2.3,4.0,0.8,0.0,0.4,0.0,2012-01-17
194,된장국,60.0,5.6,5.6,2.2,2.3,0.4,688.0,2012-01-04
195,된장찌개,60.2,6.1,5.4,2.2,1.8,0.6,637.0,
196,두릅,13.0,2.2,2.2,0.2,1.5,0.8,3.0,2012-01-04
197,두릅무침,54.0,8.1,3.2,2.5,0.0,1.2,987.0,2012-01-16
198,두부,50.0,0.8,5.6,3.4,0.0,0.1,3.0,
199,두부김치,156.0,5.4,12.1,11.0,7.1,0.9,371.0,2012-01-04
200,두부부침,50.1,0.6,4.1,3.9,0.0,0.1,111.0,2012-01-06
201,두부조림,89.4,3.3,8.2,5.9,0.0,0.5,355.0,
202,두부찌개,88.0,5.6,8.5,4.7,0.7,0.4,285.0,2012-01-04
203,두유음료,144.0,9.6,9.0,7.4,0.0,0.0,277.0,
204,들기름,35.0,0.0,0.0,4.0,0.0,0.0,0.0,2012-01-17
205,들깨,8.0,0.8,0.3,0.7,0.0,0.6,0.0,2012-01-04
206,들미나리,5.0,1.1,0.7,0.1,0.0,0.4,5.0,2012-01-04
207,딸기,26.0,6.7,0.6,0.2,0.0,0.4,10.0,2012-01-04
